Categoria,Autor,Libro
Els llibres de ficció més llegits,Xavier Bosch,La Dona De La Seva Vida
Els llibres de ficció més llegits,Maria Barbal,Tàndem  (Premi Josep Pla 2021)
Els llibres de ficció més llegits,Irene Sola Saez,Canto Jo I La Muntanya Balla
Els llibres de ficció més llegits,Gerard Quintana,L Home Que Va Viure Dues Vegades (Premi Ramon Llull 2021)
Els llibres de ficció més llegits,Victor Garcia Tur,L Aigua Que Vols
Els llibres de ficció més llegits,Milena Busquets,Gemma (Cat)
Els llibres de ficció més llegits,Vv.Aa.,Sexe Fora De Norma (Cat)
Els llibres de ficció més llegits,Carles Porta,La Farmaceutica: 492 Dies Segrestada
Els llibres de ficció més llegits,Maggie O Farrell,Hamnet
Els llibres de ficció més llegits,Laia Vilaseca,La Noia Del Vestit Blau
Els llibres de ficció més llegits,Eva Baltasar,Boulder
Els llibres de ficció més llegits,Dolores Redondo,Els Privilegis De L Angel
Els llibres d'humanitats més llegits, Albert Calatrava I Gonzalez,L Armadura Del Rei 
Els llibres d'humanitats més llegits, Quim Torra,Les Hores Greus 
Els llibres d'humanitats més llegits, Carme Forcadell,Escrivim El Futur Amb Tinta Lila 
Els llibres d'humanitats més llegits, Jordi Amat,El Fill Del Xofer 
Els llibres d'humanitats més llegits, Arcadi Oliveres,Paraules D Arcadi 
Els llibres d'humanitats més llegits, Marc Giro,Pijos 
Els llibres d'humanitats més llegits, True Crime Factory Sl,Crims Amb Carles Porta 
Els llibres d'humanitats més llegits, Xenia Vives,Tenir Sort A La Vida Depen De Tu 
Els llibres d'humanitats més llegits, Josep Maria Esquirol Calaf,"Humà, Mes Humà "
Els llibres d'humanitats més llegits, Salvador Alsius,Com Tv3 No Hi Ha(Via) Res 
Els llibres infantils més llegits,Joan Antoni Mele,L Economia Explicada Als Joves
Els llibres infantils més llegits,Antoine De Saint-Exupery,El Petit Príncep (Butxaca)
Els llibres infantils més llegits,Tina Valles,La Cigala I La Formiga
Els llibres infantils més llegits,Natalia Juan Abello,La Llegenda De Sant Jordi Amb Solapes De Roba
Els llibres infantils més llegits,Las Ratitas,Las Ratitas 4. Superaventura Entre Els Núvols
Els llibres infantils més llegits,Pedro Mañas,Anna Kadabra. El Club De La Lluna Plena
Els llibres infantils més llegits,Juan Gomez-Jurado,Una Herencia Perillosa (Amanda Black 1)
Els llibres infantils més llegits,Miriam Tirado,El Fil Invisible
Els llibres infantils més llegits,Miriam Tirado,Tinc Un Volca (2ª Ed.)
Els llibres infantils més llegits,Harriet Muncaster,La Isadora Moon I La Fada De Les Dents (La Isadora Moon 14)
Els llibres tècnics i de filologia més llegits,Vv.Aa.,Temari Comú Tècnic-A Superior De L Ajuntament Barcelona (Pack 2 Vol)
Els llibres tècnics i de filologia més llegits,Albert Sanchez Piñol,Les Estructures Elementals De La Narrativa
Els llibres tècnics i de filologia més llegits,Vv.Aa.,"Escala Basica Cuerpo De Mossos D Esquadra De La Generalitat De Catalunya: Test Psicotecnics, De Personalitat I L Entrevista"
Els llibres tècnics i de filologia més llegits,Vv.Aa.,Temari Tècnic-A Mitjàn-A. Ajuntament De Barcelona
Els llibres tècnics i de filologia més llegits,Irene Vallejo,L Infinit Dins D Un Jonc. La Invenció Dels Llibres Al Món Antic
Els llibres tècnics i de filologia més llegits,Santiago Vilanova Tane,L Emergencia Climàtica A Catalunya. Revolució O Col·Lapse
Els llibres tècnics i de filologia més llegits,Judith Sole Resina,Codi Civil De Catalunya I Lleis Complementáries 14Ed.2020
Els llibres tècnics i de filologia més llegits,Carles Porta,Tor. Tretze Cases I Tres Morts
Els llibres tècnics i de filologia més llegits,Jesus Purroy,100 Questions Per Identificar La Pseudociencia
Els llibres tècnics i de filologia més llegits,Carme Junyent,El Futur Del Català Depen De Tu
Els llibres d'oci més llegits,Ramon Parellada,Picades.El Secret De La Cuina Catalana
Els llibres d'oci més llegits,Sergio Torres,"Menja Be, No Facis Dieta"
Els llibres d'oci més llegits,Gessami Carames,Meleta De Romer
Els llibres d'oci més llegits,Carla Zaplana,Dejuni Intermitent Saludable
Els llibres d'oci més llegits,Joan De Deu Prats Pijoan,Catalunya: 50 Excursions A Cascades I Salts D Aigua
Els llibres d'oci més llegits,Sarunas Jasikevicius,Amb Guanyar No N Hi Ha Prou
Els llibres d'oci més llegits,Juan Llorca,Llet Amb Galetes
Els llibres d'oci més llegits,Sergi Lara,Camins De Ronda: La Travessa De La Costa Brava (Catala)
Els llibres d'oci més llegits,Marcel George,Descobriu La Petjada. Emparelleu 25 Animals Amb Llurs Petjades
Els llibres d'oci més llegits,Frederic Porta I Vila,"El Barça, Mes Que Un Club?"
Els eBooks més llegits,Xavier Bosch,La Dona De La Seva Vida (Ebook)
Els eBooks més llegits,Maria Barbal,Tàndem (Ebook)
Els eBooks més llegits,Marc Giro,Pijos (Ebook)
Els eBooks més llegits,Andrea Camilleri,La Xarxa De Protecció (Ebook)
Els eBooks més llegits,Gerard Quintana,L'Home Que Va Viure Dues Vegades (Ebook)
Els eBooks més llegits,Albert Calatrava I González,L'Armadura Del Rei (Ebook)
Els eBooks més llegits,Imogen Kealey,Alliberament (Ebook)
Els eBooks més llegits,Joël Dicker,La Veritat Sobre El Cas Harry Quebert (Ebook)
Els eBooks més llegits,Carme Forcadell,Escrivim El Futur Amb Tinta Lila (Ebook)
Els eBooks més llegits,Josep Maria Esquirol Calaf,"Humà, Més Humà (Ebook)"
