,Nom del joc,Num. Jugadors,Gènere,Millor a 2?,Dificultat d'aprenentatge (sobre 5),Profunditat,Duració,min,max
0,7 wonders Duel,1 a 2,Draft,Si,2.5,3.5,30,1.0,2.0
1,Illuminati,3 a 6,Economic,No,3,3.5,180,3.0,6.0
2,Age of war,2 a 4,Push-your-luck,No,1,1.0,20,2.0,4.0
3,Attack on Tittan,2 a 5,Push-your-luck,No,2,2.0,40,2.0,5.0
4,Dixit,3 a 8,Party,No,1,2.0,45,3.0,8.0
5,Espia que se perdió,3 a 8,Party,No,2,2.5,45,3.0,8.0
6,Bang,3 a 8,Rols ocults,No,2,2.0,30,3.0,8.0
7,Ciudadelas,2 a 7,Rols ocults,No,2,2.0,30,2.0,7.0
8,Twilight struggle,2,Pseudo-Wargame,Si,4,4.5,240,2.0,2.0
9,La granja,1 a 4,Eurogame,Neutral,3.5,4.0,180,1.0,4.0
10,Tao long,2,Abstracte,SI,3,4.0,40,2.0,2.0
11,Epic,2,Cartes,Si,2.5,3.0,20,2.0,2.0
12,Fantasma blitz,2 a 5,Party,No,1,1.0,10,2.0,5.0
13,GO,2,Abstracte,Si,2,5.0,40,2.0,2.0
14,Hanafuda,2,Cartes,Si,2.5,2.5,15,2.0,2.0
15,Haru ichiban,2,Abstracte,Si,1.5,1.5,20,2.0,2.0
16,El simbolo arcano,1 a 8,Push-your-luck,Si,2,2.5,80,1.0,8.0
17,Hero realms,2 a 4,Deck building,Si,2,3.0,30,2.0,4.0
18,Hive,2,Abstracte,Si,1.5,4.0,15,2.0,2.0
19,La fallera calavera,2 a 5,Cartes,No,1.5,1.5,30,2.0,5.0
20,Arkham horror LCG,1 a 2,Ameritrash,Neutral,2.5,4.0,60,1.0,2.0
21,Mareas de la locura,2,Draft,Si,1.5,2.0,15,2.0,2.0
22,Emporion,2 a 3,Draft,Si,2,2.0,30,2.0,3.0
23,Monopoly pocket,2 a 4,Economic,No,1.5,1.5,30,2.0,4.0
24,Sid Meier’s Civilization – Un Nuevo Amanecer,1 a 4,4X,N/A,3,3.5,90,1.0,4.0
25,Sid Meier’s Civilization – Un Nuevo Amanecer – Terra Incognita,1 a 5,4X,N/A,3.5,4.0,120,1.0,5.0
26,Mr. Jack,2,Estrategia,Si,2.5,2.5,40,2.0,2.0
27,Ohanami,2 a 4,Draft,No,1.5,1.5,15,2.0,4.0
28,Smash up,2 a 4,Ameritrash,Neutral,2,2.5,20,2.0,4.0
29,Star realms,1 a 2,Cartes,Si,2,2.5,20,1.0,2.0
30,Lord of the rings: Confrontation,2,Estrategia,Si,2.5,3.0,60,2.0,2.0
31,Timeline,2 a 4,Party,Neutral,1,1.5,10,2.0,4.0
32,Unearth,2 a 4,Estrategia,Neutral,2,2.0,30,2.0,4.0
33,El Valle de los Mercaderes,2 a 4,Deck building,Neutral,2.5,3.5,30,2.0,4.0
34,Zombies!,2 a 4,Ameritrash,No,1.5,1.5,30,2.0,4.0
35,Inkognito,3 a 5,Rols ocults,No,2,2.0,60,3.0,5.0
36,The Castles of Burgundy,1 a 4,Eurogame,Si,2.5,3.5,90,1.0,4.0
37,Beowulf: Terror at Herodot,2 a 5,Draft,N/A,2.5,1.5,20,2.0,5.0
38,Hanamikoji,2,Draft,Si,2,3.0,15,2.0,2.0
39,Carcassonne,2 a 5,Eurogame,Neutral,2,3.5,45,2.0,5.0
40,Claim,2,Cartes,Si,2,2.5,25,2.0,2.0
41,Guerra del anillo,2,Pseudo-Wargame,Si,4.5,5.0,240,2.0,2.0
42,kill the unicorns,3 a 6,Party,no,2.5,2.5,30,3.0,6.0
43,The Pickle Rick Game,2,Ameritrash,Si,2,2.0,30,2.0,2.0
44,Shikoku,3 a 8,Party,No,2.5,2.0,30,3.0,8.0
45,Ticket to ride: London,2 a 4,Pick-up and deliver,Neutral,2,2.5,20,2.0,4.0
46,Tussie mussie,2 a 4,Draft,Si,2,2.0,15,2.0,4.0
47,Wingspan,1 a 5,Engine-building,Si,3,3.0,60,1.0,5.0
48,Wingspan: Expansión europea,1 a 5,Engine-building,Si,3,3.0,60,1.0,5.0
49,Wingspan: Expansión de Oceanía,1 a 5,Engine-building,Si,3,3.0,60,1.0,5.0
50,Lewis & Clark: The expedition,1 a 5,Eurogame,Neutral,3.5,4.0,120,1.0,5.0
51,Abluxxen,2 a 5,Cartes,No,1.5,2.0,15,2.0,5.0
52,"Aire, Tierra y Mar",2,Cartes,Si,2,2.5,15,2.0,2.0
53,Food Chain Magnate,2 a 5,Economic,N/A,4,4.5,180,2.0,5.0
54,Sprawlopolis,1 a 4,Losetas,N/A,2,2.5,25,1.0,4.0
55,Liberation,2,Cartes,Si,2,2.5,30,2.0,2.0
56,Seasons of rice,2,Losetas,Si,2,2.5,20,2.0,2.0
57,Coloretto,2 a 5,Draft,No,1.5,2.0,15,2.0,5.0
58,"Paris, La Cité de la Lumière",2,Losetas,Si,2.5,2.5,30,2.0,2.0
59,Shadows in Kyoto,2,Estrategia,Si,2,2.5,30,2.0,2.0
60,Herbalism,2 a 4,Draft,No,2,2.0,25,2.0,4.0
61,Junk art,2 a 6,Party,Neutral,1.5,1.5,45,2.0,6.0
62,Escacs,2,Abstracte,Si,2,5.0,30,2.0,2.0
63,high society,3 a 5,Subastes,No,2,2.5,15,3.0,5.0
64,"Piko Piko, el gusanito",2 a 7,Push-your-luck,Neutral,1.5,2.0,20,2.0,7.0
65,Dragon castle,1 a 4,Abstracte,Neutral,2.5,3.0,45,1.0,4.0
66,Orchard,1,Abstracte,No,1.5,2.5,10,1.0,1.0
67,Adopta'm,2 a 4,Losetas,neutral,1.5,1.5,30,2.0,4.0
68,La Isla,2 a 4,Eurogame,No,2,3.0,60,2.0,4.0
69,Sekigahara: The unification of Japan,2,Pseudo-Wargame,Si,4,5.0,180,2.0,2.0
70,Aquasphere,2 a 4,Eurogame,Neutral,3.5,4.0,90,2.0,4.0
71,Pájaros cantores,2 a 4,Cartes,Neutral,2.5,2.5,25,2.0,4.0
72,En el año del dragón,2 a 5,Eurogame,no,2.5,3.5,70,2.0,5.0
73,Las expediciones Ming,1 a 2,Pseudo-Wargame,Si,2.5,3.5,40,1.0,2.0
74,Wavelength,4 a 12,Party,No,1,2.0,30,4.0,1.0
75,Polis,2,Pseudo-Wargame,Si,4,4.5,120,2.0,2.0
76,Patchwork,2,Losetas,Si,2,3.0,25,2.0,2.0
77,Telón de acero,2,Pseudo-Wargame,Si,2.5,3.0,30,2.0,2.0
78,Influentia,3 a 4,Cartes,No,2.5,3.0,40,3.0,4.0
79,Shinkansen: Zero - kei,1 a 4,Eurogame,N/A,2.5,3.5,60,1.0,4.0
80,Trek 12,1 a 50,Roll and write,Neutral,1,2.0,30,1.0,5.0
81,Cartaventura: Vinland,1 a 6,Cartes,Neutral,1,1.5,60,1.0,6.0
82,Lincoln,2,Pseudo-Wargame,Si,3,3.0,90,2.0,2.0
83,El foro de Trajano,2 a 4,Eurogame,No,2.5,4.0,70,2.0,4.0
84,La isla del botín,2 a 5,Filler,No,2,2.0,60,2.0,5.0
85,Lords of Xidit,3 a 5,Pick-up and deliver,No,2.5,3.0,90,3.0,5.0
86,Ticket to ride: Märklín,2 a 5,Pick-up and deliver,N/A,2,3.0,60,2.0,5.0
87,La batalla de los cinco ejércitos,2,Pseudo-Wargame,Si,4,5.0,180,2.0,2.0
88,Pan Am,2 a 4,Economic,No,3,3.0,60,2.0,4.0
89,1923: Cotton club,2 a 4,Estrategia,N/A,2.5,2.5,60,2.0,4.0
90,Lands of Galzyr,1 a 4,Ameritrash,Neutral,2.5,3.0,90,1.0,4.0
91,Geisha's Road,2,Cartes,Si,2,2.5,25,2.0,2.0
92,Hegemony: Lead Your Class to Victory,1 a 4,Eurogame,No,3.5,3.5,120,1.0,4.0
