,Posicion,Jugador,mp,Predicción_media,Tipo_predicción,value
1,A,Franz Wagner,485,-0.11749813436284084,Segura,2.190.000 $
2,P,Alperen Sengun,256,0.2772350801827817,Arriesgada,970.000 $
3,A,Furkan Korkmaz,387,0.9167748027859973,Segura,1.210.000 $
4,B,George Hill,395,1.129104180018176,Segura,880.000 $
5,B,Chris Paul,451,2.7204801643451684,Segura,12.510.000 $
6,B,Donovan Mitchell,447,3.752335105384386,Segura,11.370.000 $
7,A,Royce O'Neale,467,3.896572782655927,Segura,2.120.000 $
8,P,Jusuf Nurkic,387,4.167537578823879,Segura,5.780.000 $
9,P,John Collins,509,5.700881271045176,Segura,8.280.000 $
10,B,Derrick Rose,339,7.664020640117719,Segura,3.680.000 $
11,A,Kessler Edwards,9,12.030777042008337,Muy arriesgada,160.000 $
