,Starting date,Championship,Location
0,2019-04-03,Quiksilver Pro Gold Coast,"Gold Coast, Queensland, Australia"
1,2019-04-17,Rip Curl Pro Bells Beach,"Bells Beach, Victoria, Australia"
2,2019-05-13,Corona Bali Protected,"Keramas, Bali, Indonesia"
3,2019-05-29,Margaret River Pro,"Margaret River, Western Australia"
4,2019-06-20,Oi Rio Pro,"Saquarema, Rio de Janeiro, Brazil"
5,2019-07-09,Corona Open J-Bay,"Jeffreys Bay, Eastern Cape, South Africa"
6,2019-08-21,Tahiti Pro Teahupo'o,"Teahupoʻo, Tahiti"
7,2019-09-19,Freshwater Pro,"Lemoore, California, United States"
8,2019-10-03,Quiksilver Pro France,"Capbreton, Hossegor, Seignosse, Landes, Nouvelle-Aquitaine, France"
9,2019-10-16,MEO Rip Curl Pro Portugal,"Peniche, Portugal"
10,2019-12-08,Billabong Pipe Masters,"Banzai Pipeline, Oahu, Hawaii"
