,titulo,num_reviews,rating
0,Learn Python Programming Masterclass,71998,4.585666
1,The Python Mega Course: Build 10 Real World Applications,47540,4.585909
2,2021 Complete Python Bootcamp From Zero to Hero in Python,355895,4.5964546
3,Python for Beginners: Learn Python Programming (Python 3),14471,4.4630337
4,Complete Python Developer in 2021: Zero to Mastery,26136,4.691119
5,The Python Bible™ | Everything You Need to Program in Python,32432,4.667184
6,Machine Learning A-Z™: Hands-On Python & R In Data Science,143510,4.5158715
7,The Complete Python Course | Learn Python by Doing,13450,4.589075
8,The Modern Python 3 Bootcamp,22573,4.7029033
9,Python for Finance: Investment Fundamentals & Data Analytics,21074,4.5503583
10,Python for beginners,17601,4.3891487
11,Python for Absolute Beginners,18373,4.455001
12,The Complete Python 3 Course: Beginner to Advanced!,21546,4.126647
13,REST APIs with Flask and Python,12874,4.604743
14,100 Days of Code - The Complete Python Pro Bootcamp for 2021,23394,4.7373414
15,Python and Django Full Stack Web Developer Bootcamp,37808,4.503268
16,Data Analysis with Pandas and Python,12843,4.661582
17,Python A-Z™: Python For Data Science With Real Exercises!,19857,4.5745683
18,Programming with Python : HandsOn Introduction for Beginners,10341,4.3446336
19,Python for Financial Analysis and Algorithmic Trading,15190,4.472609
20,Learning Python for Data Analysis and Visualization,16045,4.342718
21,Spark and Python for Big Data with PySpark,14243,4.469489
22,Python for Beginners with Examples,8923,4.4895
23,Python Bootcamp 2021 Build 15 working Applications and Games,9549,4.2423997
24,The Complete Python Masterclass: Learn Python From Scratch,6048,4.4239736
25,Python OOP : Four Pillars of OOP in Python 3 for Beginners,7453,4.446194
26,30 Days of Python | Unlock your Python Potential,7177,4.4875846
27,Taming Big Data with Apache Spark and Python - Hands On!,10208,4.4531136
28,Python Coding MADE EASY : A Python Coding Course in Python 3,3450,4.6392646
29,Data Science: Deep Learning and Neural Networks in Python,7244,4.5760446
30,Python for beginners - Learn all the basics of python,5188,4.2597613
31,Learn to Code with Python,3145,4.652374
32,Python Network Programming for Network Engineers (Python 3),5944,4.695887
33,The Complete Python Programmer Bootcamp 2021,3186,4.617207
34,Python Network Programming Complete Masterclass,4388,4.5674214
35,Python Complete Masterclass for Beginners,2256,4.5218472
36,Python and Flask Bootcamp: Create Websites using Flask!,5645,4.661823
37,Web Developer Bootcamp with Flask and Python,4777,4.5346494
38,Deep Learning Prerequisites: Linear Regression in Python,4736,4.6631875
39,Python Programming Bootcamp,1311,4.62579
40,Learn Python: The Complete Python Programming Course,1679,4.1187873
41,"Complete Python Challenges, Python MCQ& Python Recap in 2021",126,3.993021
42,Python 101,1141,4.4195905
43,GUI Development with Python and Tkinter,1207,4.64511
44,Python Programming Beginners Tutorial : Python 3 Programming,1988,4.000217
45,Python in a Weekend: The Easiest Python for Beginners Course,92,4.658249
46,Python 2021:Complete Python Bootcamp:Zero-Hero Programming,381,4.2607274
47,Complete Python & Python OOP with Exercises& Projects in2021,153,3.713476
48,Python : Comprehensive Bootcamp  (Beginner To Professional),799,4.350114
49,Python 3 from Beginner to Expert - Learn Python from Scratch,152,4.4888105
50,Python for Beginners 2021:  Your Gate to the Python World,115,4.6125154
51,Python: Learn Python with Real Python Hands-On Examples,88,4.433528
52,Python Programming for Beginners,1218,4.2861934
53,Python for Beginners: Learn Python Programming (in Python 3),884,3.9766041999999997
54,Python Developer: Python/Django/Flask/PostgreSQL/MySQL/API,104,4.4711733
55,The Ultimate Python Programming Tutorial ,1951,4.195516
56,Python for beginners - Learn all the basics of python,505,3.9924260000000005
57,Python Complete Course For Python Beginners,940,4.0549827
58,"Complete python boot camp: (Python and adv Python, Numpy)",125,4.2833056
59,Logistic Regression in Python,692,4.4033055
